ID,Franchise,Principal Owner(s),Operating Entities,Purchase Price,Owned Since
ATL,Atlanta Hawks," Tony Ressler, Grant Hill, Steven Price, Rick Schnall, Sara Blakely, Jesse Itzler","Hawks Basketball, Inc.",$730M,2015
BOS,Boston Celtics," Wyc Grousbeck, Stephen Pagliuca, H. Irving Grousbeck, David Bonderman, Jim Breyer, James Pallotta, Glenn Hutchins, Jonathan Lavine",Boston Basketball Partners,$360M,2002
BKN,Brooklyn Nets, Joseph Tsai,J Tsai Sports,$2.35B,2019
CHA,Charlotte Hornets, Michael Jordan,"Hornets Sports & Entertainment, Hornets Basketball Holdings, LLC",$175M,2010
CHI,Chicago Bulls, Jerry Reinsdorf,Chicago Professional Sports Limited Partnership,$16.2M,1985
CLE,Cleveland Cavaliers, Dan Gilbert,Cavaliers Entertainment LLC,$375M,2005
DAL,Dallas Mavericks, Mark Cuban,Dallas Basketball Limited,$280M,2000
DEN,Denver Nuggets, Ann Walton Kroenke,"Kroenke Sports & Entertainment, Denver Nuggets Limited Partnership",$202M,2000
DET,Detroit Pistons, Tom Gores,"Palace Sports & Entertainment, Detroit Pistons Basketball Company",$325M,2011
GSW,Golden State Warriors," Joe Lacob,  Peter Guber",GSW Sports LLC,$450M,2010
HOU,Houston Rockets, Tilman Fertitta,Fertitta Entertainment,$2.2B,2017
IND,Indiana Pacers, Herbert Simon,"Pacers Sports & Entertainment, Pacers Basketball, LLC",$10.5M,1983
LAC,Los Angeles Clippers, Steve Ballmer,"LAC Basketball Club, Inc.",$2B,2014
LAL,Los Angeles Lakers," Jeanie Buss,   Jim Buss, Johnny Buss,","The Los Angeles Lakers, Inc.",$268M,1998
MEM,Memphis Grizzlies, Robert J. Pera,Memphis Basketball LLC,$377M,2012
MIA,Miami Heat,"Micky Arison, Nick Arison",Miami Heat Limited Partnership,$68M,1995
MIL,Milwaukee Bucks," Marc Lasry,  Wesley Edens","Milwaukee Bucks, Inc.",$550M,2014
MIN,Minnesota Timberwolves, Glen Taylor,Minnesota Timberwolves Basketball Limited Partnership,$88.5M,1995
NOP,New Orleans Pelicans, Gayle Benson,New Orleans Pelicans NBA Limited Partnership,$338M,2012
NYK,New York Knicks, James Dolan,"The Madison Square Garden Company, New York Knicks, Inc.",$300M,1997
OKC,Oklahoma City Thunder, Clay Bennett,Professional Basketball Club LLC,$325M,2006
ORL,Orlando Magic, Dan DeVos,"RDV Sports, Inc., Orlando Magic, Ltd.",$85M,1991
PHI,Philadelphia 76ers," Joshua Harris, Adam Aron, David Blitzer, Martin J. Geller, David B. Heller, Travis Hennings, James Lassiter, Marc Leder, Michael Rubin, Will Smith, Jada Pinkett Smith, Art Wrubel, Kevin Hart,  Erick Thohir, Handy Soetedjo","Philadelphia 76ers, Inc.",$287M,2011
PHX,Phoenix Suns, Robert Sarver,"Suns Legacy Partners, LLC",$404M,2004
POR,Portland Trail Blazers, Jody Allen,"Vulcan Inc., Trail Blazers, Inc.",$70M,1988
SAC,Sacramento Kings," Vivek Ranadivé,  Paul E. Jacobs, Gary E. Jacobs, Hal Jacobs, Jeffrey A. Jacobs, Shaquille O'Neal",Sacramento Kings Partnership Group (operating entity yet to be named),$534M,2013
SAS,San Antonio Spurs," Peter Holt, David Robinson","Spurs Sports & Entertainment, San Antonio Spurs LLC",$76M,1993
TOR,Toronto Raptors," Larry Tanenbaum, Rogers Communications, BCE","Maple Leaf Sports & Entertainment, Toronto Raptors Basketball Club",$467M,1998
UTA,Utah Jazz," Ryan Smith, Ashley Smith, Ryan Sweeney, Mike Cannon-Brookes, the Miller Family, Dwyane Wade","Jazz Basketball Investors, Inc.",$1.66B,2021
WAS,Washington Wizards, Ted Leonsis,Monumental Sports & Entertainment,$551M,2010
